keyword,TrendScore
Ozzy,0.8073854692508492
Black Sabbath,0.3796273538805714
Gaza,0.3322858885317481
#15YearsOfOneDirection,0.281562447321671
MAEWNAM IS THE WAN,0.2544551601993681
Hamas,0.2499278840367024
Ready for Camp Nexus,0.24098025486499264
Vshojo,0.18620558258965086
Prince of Darkness,0.18292678570082074
Social Media Influencers,0.18210065625430275
Social Media Gaming,0.17144178338066515
 chatgpt,0.16000000000000003
Achieving Goals,0.16000000000000003
malcolm jamal warner,0.16000000000000003
Sharon,0.15438860218748598
Pedro Pascal,0.14352650783003035
Crazy Train,0.13852184485849656
conrad,0.1363380635368232
Trump,0.13564138264976056
#WhaleStorexoxoEP5,0.1304910685419596
